Bench,MODE,Size,iters,launch_us/iter_mean,launch_us/iter_std,launch_us/iter_count,cpu_idle_us/iter_mean,cpu_idle_us/iter_std,cpu_idle_us/iter_count,total_us/iter_mean,total_us/iter_std,total_us/iter_count,graph_create_ms_mean,graph_create_ms_std,graph_create_ms_count
cudnn,Graph,Small,1000,2.514739,0.0,1,15.319668,0.0,1,17.834407000000002,0.0,1,0.183554,0.0,1
cudnn,Graph,Small,10000,16.014707,0.0,1,1.821965,0.0,1,17.836672,0.0,1,0.183554,0.0,1
cudnn,NoGraph,Big,100,23.10666,0.0,1,10471.12282,0.0,1,10494.22948,0.0,1,0.0,0.0,1
cudnn,NoGraph,Big,1000,22.913414000000003,0.0,1,10504.984999,0.0,1,10527.898412999999,0.0,1,0.0,0.0,1
cudnn,NoGraph,Big,10000,9513.241158,0.0,1,1084.061641,0.0,1,10597.302799,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,100,23.33469,0.0,1,1288.48495,0.0,1,1311.81964,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,1000,23.396752,0.0,1,1301.4614869999998,0.0,1,1324.8582390000001,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,10000,1193.8250460000002,0.0,1,136.167901,0.0,1,1329.992947,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,100,23.3881,0.0,1,0.20569,0.0,1,23.59379,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,1000,23.427248000000002,0.0,1,0.021521000000000002,0.0,1,23.448769,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,10000,23.438678,0.0,1,0.002189,0.0,1,23.440867,0.0,1,0.0,0.0,1
