Bench,MODE,Size,iters,launch_us/iter_mean,launch_us/iter_std,launch_us/iter_count,cpu_idle_us/iter_mean,cpu_idle_us/iter_std,cpu_idle_us/iter_count,total_us/iter_mean,total_us/iter_std,total_us/iter_count,graph_create_ms_mean,graph_create_ms_std,graph_create_ms_count
cudnn,Graph,Small,1000,2.543552,0.0,1,15.405953,0.0,1,17.949505,0.0,1,0.176501,0.0,1
cudnn,Graph,Small,10000,16.126915,0.0,1,1.8363459999999998,0.0,1,17.963261,0.0,1,0.176501,0.0,1
cudnn,NoGraph,Big,100,23.28709,0.0,1,10356.676440000001,0.0,1,10379.963529999999,0.0,1,0.0,0.0,1
cudnn,NoGraph,Big,1000,22.402098000000002,0.0,1,10369.932083,0.0,1,10392.334181,0.0,1,0.0,0.0,1
cudnn,NoGraph,Big,10000,9432.195415,0.0,1,1081.48905,0.0,1,10513.684465,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,100,22.91379,0.0,1,1269.37536,0.0,1,1292.28915,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,1000,23.393979,0.0,1,1281.832189,0.0,1,1305.226168,0.0,1,0.0,0.0,1
cudnn,NoGraph,Medium,10000,1177.50406,0.0,1,134.658966,0.0,1,1312.163026,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,100,23.130589999999998,0.0,1,0.2141,0.0,1,23.34469,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,1000,23.267923,0.0,1,0.021631,0.0,1,23.289554000000003,0.0,1,0.0,0.0,1
cudnn,NoGraph,Small,10000,23.12324,0.0,1,0.002175,0.0,1,23.125415,0.0,1,0.0,0.0,1
