MODE,Size,N,C,H,W,K,R,S,iters,graph_create_ms,launch_ms,total_ms,launch_us/iter,total_us/iter,cpu_idle_us/iter
Graph,Small ,1,32,32,32,32,3,3,100,0.176501,0.252433,1.801469,2.524330,18.014690,15.490360
Graph,Small ,1,32,32,32,32,3,3,1000,0.176501,2.543552,17.949505,2.543552,17.949505,15.405953
Graph,Small ,1,32,32,32,32,3,3,10000,0.176501,161.269150,179.632611,16.126915,17.963261,1.836346
Graph,Medium,8,64,112,112,128,3,3,100,0.039394,0.251903,133.171988,2.519030,1331.719880,1329.200850
Graph,Medium,8,64,112,112,128,3,3,1000,0.039394,2.512234,1339.498595,2.512234,1339.498595,1336.986361
Graph,Medium,8,64,112,112,128,3,3,10000,0.039394,12063.984595,13438.049297,1206.398460,1343.804930,137.406470
Graph,Big   ,16,64,224,224,128,3,3,100,0.048481,0.269105,1058.077002,2.691050,10580.770020,10578.078970
Graph,Big   ,16,64,224,224,128,3,3,1000,0.048481,2.481535,10584.726363,2.481535,10584.726363,10582.244828
Graph,Big   ,16,64,224,224,128,3,3,10000,0.048481,95020.066994,105829.821916,9502.006699,10582.982192,1080.975492
